control1	control2	control3	tumour1	tumour2	tumour3
ABAT	9.2042525244573	9.13681581144204	9.32202591703371	9.40876655948437	9.51503228854149	9.30682936867411
ABCA1	9.14789947793887	9.28763778146353	9.1190928805661	9.08886017021251	9.17269447392412	9.4013926267089
ABCA10	5.9119664447777	4.70353787315219	6.30182043174745	6.27622949779062	6.20616981069292	6.09921547759242
ABCA11P	6.87557964059134	6.7572590007241	6.72843527499503	6.87265986850218	6.91620082089207	7.28354761832201
ABCA12	8.37428593872391	8.70192835319515	8.5956475913475	8.56375358910037	8.43453678159261	8.45249392635959
ABCA13	5.74541941898085	6.03666692748705	6.03885802349929	6.38106788179775	6.69737503063077	6.34243895496906
ABCA15P	4.14857571575611	4.42771789787416	4.13821036209508	3.73684720555132	2.75418413992047	4.07029357230372
ABCA17P	3.73139796847996	1.7728209009557	1.57758143775249	3.14012201976061	1.56594205781118	4.09986141603971
ABCA2	9.18245296654836	8.57338413700776	8.42007668994341	9.38288554839784	8.36914260374044	7.5685528382903
ABCA3	4.36594984778639	5.06444993013508	5.55582553027067	4.37848816190958	4.36489889496479	2.61678945690297
ABCA3P1	0	0	0	0	0	0
ABCA4	2.49427207314257	0.230003947487862	0	0	1.79756143017347	0
ABCA5	10.190281136528	10.2892768912289	10.4224103217262	10.3522191135462	10.5059492541276	10.8804229543395
ABCA6	7.06422294142676	7.23134322973409	7.80716862209366	7.8114202740994	7.77431941771357	8.38890946926675
ABCA7	8.50010032519587	8.21629530530177	8.25684939594202	8.91055544758978	8.43627657271485	8.18347982647634
ABCA8	8.02007265939516	8.61072412280145	8.46643970343111	8.585337199055	9.12568189042755	8.80301589516024
ABCA9	6.10644818093962	6.43491217840943	5.79296820677299	6.43119647575298	5.67573623185167	6.5809516508827
ABCB1	5.93577281213407	5.41057496630331	6.2306041663524	6.49736300844221	6.62647955336227	5.98124747625277
ABCB10	9.02086313837344	9.34015481130889	8.97581550643929	8.85034268628895	8.95005987644786	9.04337629287698
ABCB10P1	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0
ABCB11	1.13849031927116	2.41759204422893	1.24972107889995	2.80895594529263	2.00665601600646	0.690246975946606
ABCB4	7.25257106867427	7.95981525542005	7.62558625876575	7.45303381590677	7.38939042734311	7.85922940791557
ABCB5	13.1503958287782	13.1933876064088	13.2364260646424	12.9677494211905	13.1437524362217	13.3261332366365
ABCB6	10.1808516226801	10.0869936970997	10.1873862251428	10.1984900107666	10.3167855115549	10.1981823068473
ABCB7	9.26392410738386	9.12466298127825	9.2782302170705	9.10646029520013	9.35810445609154	9.19647146318755
ABCB8	9.39590543396154	9.14907879074955	9.11644213657654	9.68343995711345	9.00509348528383	8.92497178737805
ABCB9	9.30635729842879	9.03369211523262	8.72272141139455	8.94796812470392	8.54547370410027	7.73705086166862
ABCC1	10.8342391645923	10.9652479332414	10.7569013285867	10.8553175406365	10.8969435329265	10.9480467944017
ABCC10	8.71121514919221	8.81561030915206	8.82019228938692	8.68482953552218	8.51083925311943	8.71175590322861
ABCC11	4.92360945016072	5.04300266470504	3.90128269960543	4.36094064660267	4.07985941664039	4.31110538820245
ABCC12	0	0	0	0	0	1.0076981838437
ABCC13	0	0	0	0	0	0
ABCC2	10.2497746046745	10.5595280830367	10.1646020886241	10.1433143838849	10.1607979780246	10.0376208228065
ABCC3	4.42964170091019	4.66658757742604	4.94395761654605	5.24350883752398	6.20156043242321	4.51176512592717
ABCC4	9.23158274222419	9.21700508473737	9.41606342947329	9.56166556967335	9.38301478788591	9.37805950954543
ABCC5	10.6890711157239	10.3693443697368	10.3225163858667	10.3005232973664	10.4705962240265	10.3280072501037
ABCC6	3.32769587335979	3.72761572884525	3.99186382226081	3.59370021459447	4.83609815232029	3.8584427423202
ABCC6P1	0.784798370545348	0.795874123882831	0.795170416863792	3.4817782270103	0	0
ABCC6P2	1.52998232746322	1.63485486412858	2.01996078412943	1.66029823452628	0.962394651020144	1.96054970339773
ABCC8	3.96497507565075	4.11165764559739	3.21513745412901	4.43827342762323	4.05102067818932	3.56502926280974
ABCC9	5.57960846729098	5.51504206419602	5.23645160190105	5.63466717503703	5.35738053308164	6.02425118257061
ABCD1	9.89860150764085	9.78592065422741	9.2921828420974	10.1832967826588	9.41373866164562	8.80096626603947
ABCD1P2	0	0	0	0	0.995996627073578	0
ABCD1P3	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0
ABCD2	3.44573164150532	3.71076468895404	2.59290172977463	3.98784932574478	3.57761447660978	3.47339790571711
ABCD3	11.1767663872045	11.332457257046	11.3179610512701	11.3225028346775	11.4223463635892	11.5279499721512
ABCD4	9.43886631735912	9.45392458985519	9.06061323534994	9.45490877756989	9.36120471238177	9.41221946775024
ABCE1	11.6891572404535	11.5798038618451	11.8525243532603	11.4663547166388	11.6090023765026	11.8256473958874
ABCF1	11.020033817689	11.2563372259533	11.2331551564879	11.1040091187239	11.2262075891057	11.2406401973476
ABCF2	10.2753326118682	10.2693062484154	10.229514800477	10.5330279251333	10.2202593283879	10.4629055222799
ABCF2-H2BK1	9.29555949210516	9.3948696763361	9.45659147494684	9.28397254128864	9.54849884635947	9.46241685171349
ABCF2P1	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0
ABCF3	10.1039866085027	10.1125733070543	9.95164024468625	10.1584038077289	10.1456974616994	9.69958106510923
ABCG1	4.60781021196518	3.69702978932268	3.9637211447937	3.48672713503538	4.11267175703592	3.57277513123586
ABCG2	5.61324851804466	5.85808194005609	6.04597606928656	5.83431793613157	5.83921202358665	6.0517215095724
ABCG4	3.8923311879315	3.48768539547823	3.51883651213432	3.88267002554867	4.5839479400846	4.37139283838406
ABCG5	3.74197614956497	3.60125671035293	4.23247535670746	2.30928703062784	3.18141538364126	1.08192311444083
ABCG8	3.89276851584616	3.99835067719693	4.07844470610053	4.20360213675766	4.09273596312159	3.78378033699745
ABHD1	2.86921996882057	3.90597264575295	3.59271959541541	2.81695575717112	2.7807730831563	1.99670683887749
ABHD10	10.3443253104203	10.44478685798	10.5080078700716	10.3464156135406	10.512012596945	10.586450979118
ABHD11	7.81615698342123	7.49263252097864	7.35424024340929	7.69849133819165	7.41116011229499	6.84707543983841
ABHD12	10.914591657254	10.9032307486597	10.8297097058472	10.7835778823262	10.795827220363	10.7378458871057
ABHD12B	5.64950888441654	4.95931844217159	5.70965056333334	5.63773427849615	5.27875652957429	5.22883165009193
ABHD13	9.36215616409717	9.35989312888825	9.63704373182406	9.52814972609677	9.69069645623855	9.84822877447812
ABHD14A	7.55280659350998	6.9971135725027	7.00856375661926	7.65089852483216	7.27167041921722	6.86288486984272
ABHD14A-ACY1	4.33433564927547	4.55084402814231	5.97271803554233	3.70130103050516	5.21979062719449	4.67640920546355
ABHD14B	9.43114109281655	9.31071252678573	9.25325739452651	9.67556046677954	9.57696152965705	9.26973454893988
ABHD15	8.817846093684	8.65861270740464	8.77105121028013	8.77170000599372	8.8746421977596	8.74323993864732
ABHD16A	9.31227043934157	9.2273592831683	9.20534635806354	9.31932715297673	9.14940528247505	8.78552996455531
ABHD16B	2.79444131524185	2.59428689149742	0	2.57416696603386	1.5796221976596	0
ABHD17A	8.89371216126375	8.54674974351268	8.16137023639137	9.09498892472843	8.16691137607163	7.55219146438171
ABHD17AP1	0	0	0	0	0	0
ABHD17AP3	0	0	0	0	0	0
ABHD17AP4	0	0	0	0	0	0
ABHD17AP5	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0
ABHD17AP7	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0
ABHD17B	8.85685946724907	9.07113147072504	9.23305849339387	8.96157071877356	8.96787897711484	9.21974859395653
ABHD17C	9.25572043128434	8.961668896058	9.05774706547152	8.81162874418496	9.03914491129027	9.26485884511617
ABHD18	6.27297238193915	7.02560735700136	6.81724660449176	6.91458873650945	6.67445029973489	6.75436864854369
ABHD2	11.566493738724	11.1688155045307	11.4939798620877	11.7026952529536	11.6766792583238	11.6745193048247
ABHD3	9.38646302371571	9.31389714655287	9.16412784286497	9.18625620460922	9.10776648310475	9.20371584852932
